impactIndicatorId,impactMethodName,impactCategoryName,impactName,unitName,amount
f7b96cd4-6286-4091-b44e-00e8f7382e30,EPS 2020d no LT,total no LT,monetary impact value no LT,EUR 2018,0.2929742913826362
05c6aa82-da5c-4f82-bfd7-9ff901111711,Ecological Footprint,CO2,global hectares,m2a,0.1074430481606766
4ef35247-767f-4ee1-8b66-9ff901111700,Ecological Footprint,land occupation,global hectares,m2a,0.07415838859049327
6d3510f7-e2c6-4bec-960b-9ff9011116ff,Ecological Footprint,nuclear,global hectares,m2a,0.005452887659933305
d863ee91-04f5-43ea-85e4-9ff90111170a,Ecological Footprint,total,global hectares,m2a,0.18705432441110317
c621b8a6-0fdb-4c90-bf13-3215df559b3c,Ecological Scarcity 2021,climate change,global warming potential (GWP100),UBP,227.79769432839095
ad79548f-cdf4-4707-9c5e-ad580731f1b8,Ecological Scarcity 2021,emissions to air,air pollutants and PM,UBP,32.09057667693032
28417738-dc28-48fd-a996-ef5a7e93a55a,Ecological Scarcity 2021,emissions to air,carcinogenic substances into air,UBP,3.327146119290634
01372422-c2bf-4330-81e4-fe783247da5d,Ecological Scarcity 2021,emissions to air,heavy metals into air,UBP,5.5327545813015835
27d68e4f-e732-4461-9f9c-81d35862b01d,Ecological Scarcity 2021,emissions to air,radioactive substances into air,UBP,1.7957483153809432E-05
658d487b-6859-4d70-a7ad-f487e1f13896,Ecological Scarcity 2021,emissions to soil,heavy metals into soil,UBP,0.3255170159746118
e1b90378-ae4b-4202-b245-599f478f2ebc,Ecological Scarcity 2021,emissions to soil,pesticides into soil,UBP,2.3847317779896096
97bc1c71-3d20-404b-a049-36192ca8250b,Ecological Scarcity 2021,emissions to water,POP into water,UBP,0.1425003459807785
84a09662-62ea-4d93-a504-8ca4429fedf8,Ecological Scarcity 2021,emissions to water,heavy metals into water,UBP,0.39655455317936406
37a3410f-4553-4b3a-8488-0647dbdfcf83,Ecological Scarcity 2021,emissions to water,radioactive substances into water,UBP,0.017805282718550582
e4a85c6b-9763-4e83-9575-1bbe446a7427,Ecological Scarcity 2021,emissions to water,water pollutants,UBP,2.2051170700920943
407c53d8-e7d4-4a71-ae84-f516ef950796,Ecological Scarcity 2021,energy resources,energy resources,UBP,5.8399596461571885
da888017-6288-463a-8d4a-890a70948c9f,Ecological Scarcity 2021,land use,land use,UBP,47.788593408241006
8a3aa57c-168c-49e7-bf7e-69c9283570cf,Ecological Scarcity 2021,mineral resources,mineral resources,UBP,4.148685211851953
eb0a1ae3-c799-43a7-93f4-a1d76ffc171d,Ecological Scarcity 2021,natural resources,biotic resources,UBP,8.528247793332282E-17
7d3f4f2a-7a6d-469a-a670-cc53f3803698,Ecological Scarcity 2021,ozone depletion,ozone depletion,UBP,0.008158029297972186
7c1522bf-24e6-404a-af22-d31e8089640c,Ecological Scarcity 2021,total,UBP,UBP,335.33098597972236
8b9c800f-c542-486b-9149-65ea6de975be,Ecological Scarcity 2021,waste disposal,radioactive waste to deposit,UBP,0.8692514752629863
099df1b9-8d70-436f-a53c-da92e8862955,Ecological Scarcity 2021,waste disposal,"waste, non radioactive",UBP,2.209765960742309
288cb5a5-d243-4241-a9c5-af3cd581cfed,Ecological Scarcity 2021,water use,"water resources, evaporated",UBP,0.24615653883704702
96a31173-cb4a-49d1-9b7b-4cd74818bd81,Ecological Scarcity 2021 no LT,climate change no LT,global warming potential (GWP100) no LT,UBP,227.7976937773033
999b9797-f305-4067-a8ae-552303785e13,Ecological Scarcity 2021 no LT,emissions to air no LT,air pollutants and PM no LT,UBP,32.06875345164254
9bcfd44d-d626-428d-b496-5d886675ebbe,Ecological Scarcity 2021 no LT,emissions to air no LT,carcinogenic substances into air no LT,UBP,3.3271459544604545
9e29a8b9-647e-4347-a487-20bb964f1848,Ecological Scarcity 2021 no LT,emissions to air no LT,heavy metals into air no LT,UBP,5.526803732654642
c71bd085-485d-4031-9b81-d928c063d8eb,Ecological Scarcity 2021 no LT,emissions to air no LT,radioactive substances into air no LT,UBP,6.537309525506885E-06
b85ade27-a40f-441b-a293-4c54c1cd47ea,Ecological Scarcity 2021 no LT,emissions to soil no LT,heavy metals into soil no LT,UBP,0.3255170159746118
b21191d8-6488-4c7d-8d61-6b2c2469c6ed,Ecological Scarcity 2021 no LT,emissions to soil no LT,pesticides into soil no LT,UBP,2.3847317779896096
